"prec","total_votes","trump","clinton","latino_reg","total_reg","county_id","county_name","pct_latino","pct_trump","pct_clinton"
"4013_stfrancis",1253,405,738,310,2149,"4013","maricopa",0.144253140995812,0.323224261771748,0.588986432561852
"4013_stmoritz",1611,865,613,262,2877,"4013","maricopa",0.0910670837678137,0.536933581626319,0.380509000620732
"4013_stardust",1063,653,358,52,1411,"4013","maricopa",0.0368532955350815,0.614299153339605,0.336782690498589
"4013_starlight",1085,230,782,1161,2253,"4013","maricopa",0.515312916111851,0.211981566820276,0.72073732718894
"4013_stella",1308,391,814,819,3076,"4013","maricopa",0.266254876462939,0.298929663608563,0.622324159021407
"4013_stellar",3249,1423,1577,451,4734,"4013","maricopa",0.0952682720743557,0.437980917205294,0.485380116959064
"4013_stonegate",1587,872,640,61,2075,"4013","maricopa",0.0293975903614458,0.549464398235665,0.403276622558286
"4013_stump",3489,714,2530,3010,6531,"4013","maricopa",0.460878885316184,0.204643164230439,0.725136142161078
"4013_summerstar",1150,678,434,24,1609,"4013","maricopa",0.0149160969546302,0.589565217391304,0.377391304347826
"4013_sunaire",2713,1453,1056,669,4809,"4013","maricopa",0.139114160948222,0.535569480280133,0.389237007003317
"4013_suncity",2066,1225,746,97,2971,"4013","maricopa",0.0326489397509256,0.592933204259439,0.36108422071636
"4013_sungroves",2465,1254,1027,373,3746,"4013","maricopa",0.099572877736252,0.508722109533469,0.416632860040568
"4013_sunlakescountryclub",1833,1093,661,70,2526,"4013","maricopa",0.0277117973079968,0.596290234588107,0.360611020185488
"4013_suntrails",3329,1812,1120,737,5566,"4013","maricopa",0.132411067193676,0.544307599879844,0.336437368579153
"4013_sunburst",1346,688,551,248,2359,"4013","maricopa",0.105129292072912,0.511144130757801,0.409361069836553
"4013_suncliff",2685,1339,1091,731,4812,"4013","maricopa",0.151911886949293,0.498696461824953,0.40633147113594
"4013_sundance",1230,607,522,463,2233,"4013","maricopa",0.207344379758173,0.49349593495935,0.424390243902439
"4013_sundancewest",2798,1448,1159,969,4781,"4013","maricopa",0.202677264170676,0.517512508934953,0.414224446032881
"4013_sundown",1709,854,776,53,2352,"4013","maricopa",0.0225340136054422,0.499707431246343,0.454066705675834
"4013_sunflower",3,3,0,0,7,"4013","maricopa",0,1,0
"4013_sunland",1376,188,1087,1901,3113,"4013","maricopa",0.610664953421137,0.136627906976744,0.789970930232558
"4013_sunnyhigh",3486,1466,1779,375,4695,"4013","maricopa",0.0798722044728434,0.420539300057372,0.510327022375215
"4013_sunnyside",907,493,365,58,1196,"4013","maricopa",0.048494983277592,0.543550165380375,0.402425578831312
"4013_sunnyslope",1152,408,683,278,1962,"4013","maricopa",0.141692150866463,0.354166666666667,0.592881944444444
"4013_sunrise",2375,1218,934,478,4266,"4013","maricopa",0.112048757618378,0.512842105263158,0.393263157894737
"4013_sunup",1377,661,584,324,2709,"4013","maricopa",0.119601328903654,0.4800290486565,0.424110384894699
"4013_supai",2095,803,1098,470,3611,"4013","maricopa",0.1301578510108,0.383293556085919,0.524105011933174
"4013_sunlandvillage",4488,2597,1582,469,6400,"4013","maricopa",0.07328125,0.578654188948307,0.352495543672014
"4013_surprise",1114,315,708,1259,2493,"4013","maricopa",0.505014039310068,0.282764811490126,0.635547576301616
"4013_surprisefarms",4077,2466,1338,686,6521,"4013","maricopa",0.10519858917344,0.60485651214128,0.328182487122884
"4013_sutton",1507,734,668,86,2121,"4013","maricopa",0.0405469118340405,0.487060384870604,0.443264764432648
"4013_sweetwater",1862,996,710,342,3173,"4013","maricopa",0.107784431137725,0.534908700322234,0.381310418904404
"4013_tablemesa",27,22,4,1,49,"4013","maricopa",0.0204081632653061,0.814814814814815,0.148148148148148
"4013_taro",2029,1133,740,310,3711,"4013","maricopa",0.0835354351926704,0.558403154263184,0.364711680630853
"4013_tartesso",1382,876,396,365,2279,"4013","maricopa",0.160157964019307,0.633863965267728,0.286541244573082
"4013_tatum",5061,2559,2196,371,7491,"4013","maricopa",0.0495260979842478,0.505631298162418,0.433906342620036
"4013_tempe",473,157,274,105,1713,"4013","maricopa",0.0612959719789842,0.331923890063425,0.579281183932347
"4013_terravita",3374,2086,1126,109,4265,"4013","maricopa",0.025556858147714,0.618257261410788,0.333728512151749
"4013_thomas",564,207,308,155,855,"4013","maricopa",0.181286549707602,0.367021276595745,0.546099290780142
"4013_tierraeste",1782,1029,570,355,3008,"4013","maricopa",0.118018617021277,0.577441077441077,0.31986531986532
"4013_tierramadre",2532,1510,809,263,3437,"4013","maricopa",0.0765202211230724,0.596366508688784,0.319510268562401
"4013_tolleson",1693,314,1294,2159,3425,"4013","maricopa",0.63036496350365,0.185469580626107,0.764323685764914
"4013_tonopah",949,665,236,254,1729,"4013","maricopa",0.146905725853094,0.700737618545838,0.24868282402529
"4013_tonto",3072,1819,997,451,4830,"4013","maricopa",0.0933747412008282,0.592122395833333,0.324544270833333
"4013_tortillaflat",13,10,2,0,21,"4013","maricopa",0,0.769230769230769,0.153846153846154
"4013_sanangelo",1884,1072,609,270,2999,"4013","maricopa",0.0900300100033345,0.569002123142251,0.323248407643312
"4013_townley",623,187,390,260,1501,"4013","maricopa",0.173217854763491,0.30016051364366,0.626003210272873
"4013_traditions",2126,1321,704,172,2717,"4013","maricopa",0.0633051159366949,0.621354656632173,0.331138287864534
"4013_trevorbrowne",1070,202,779,1194,2278,"4013","maricopa",0.52414398595259,0.188785046728972,0.72803738317757
"4013_trilogy",6412,3776,2167,642,8699,"4013","maricopa",0.0738015863892401,0.588895820336868,0.337960074859638
"4013_tuckey",671,173,439,835,1936,"4013","maricopa",0.431301652892562,0.257824143070045,0.65424739195231
"4013_tulane",2194,681,1288,502,3543,"4013","maricopa",0.141687835167937,0.310391978122151,0.587055606198724
"4013_tumbleweed",1733,314,1304,2150,4048,"4013","maricopa",0.531126482213439,0.181188690132718,0.752452394691287
"4013_turfparadise",869,408,399,125,1320,"4013","maricopa",0.0946969696969697,0.469505178365938,0.459148446490219
"4013_turney",2698,516,1970,633,4360,"4013","maricopa",0.145183486238532,0.191252779836916,0.730170496664196
"4013_pebblecreek",5870,3599,2059,310,6970,"4013","maricopa",0.0444763271162123,0.613117546848382,0.35076660988075
